name,link,auth,category,subtype
SLAC Faculty Affairs Office,http://home.slac.stanford.edu/SLACFacAffairs.html,No,Faculty,
Particle Physics and Astrophysics Faculty,http://home.slac.stanford.edu/ppa/PPAFacultyIndex.html,No,Faculty,
Photon Science Faculty,http://www-ssrl.slac.stanford.edu/organization/facultyindex.html,No,Faculty,
KIPAC Faculty and Affiliated Faculty,http://kipac.stanford.edu/kipac/people,No,Faculty,
Stanford Academic Departments,http://www.stanford.edu/home/academics/departments.html,No,Faculty,
Accelerator Directorate,http://www-public.slac.stanford.edu/accelerator/,No,Site Operations,
LCLS Real Time Status,https://slacportal.slac.stanford.edu/sites/lcls_public/Pages/status.aspx,No,Site Operations,
SPEAR status,http://www-ssrl.slac.stanford.edu/talk_display.html,No,Site Operations,
Accelerator Systems Division,https://www-internal.slac.stanford.edu/ad/ad.html,Yes,Site Operations,
Operations Schedules,https://www-internal.slac.stanford.edu/ad/admo/ADMO_HP.htm#schedules,Yes,Site Operations,
HEP Shift Reports,https://www-internal.slac.stanford.edu/ad/,Yes,Site Operations,
Find SLAC Documents,https://www-internal.slac.stanford.edu/scidoc/SciDoc_DocSearch_SearchSciDoc.asp,Yes,Publications,SLAC Documents
Register SLAC Documents using SciDoc,https://www-internal.slac.stanford.edu/scidoc/,Yes,Publications,SLAC Documents
SLAC Author Responsibilities,http://www-group.slac.stanford.edu/infomedia/resources/ims_resources_dr_authorResponsibilities.html,No,Publications,SLAC Documents
Recent SLAC Scientific Publications,http://www-public.slac.stanford.edu/scidoc/RecentPubs.asp,No,Publications,SLAC Documents
BaBar/PEP-II Publications Database,http://www.slac.stanford.edu/accel/pepii/peppub.html,No,Publications,Specialized Document Collections
eConf Proceedings Archive,http://www.slac.stanford.edu/econf/search.html,No,Publications,Specialized Document Collections
ICFA Instrumentation Bulletin,http://www.slac.stanford.edu/pubs/icfa/,No,Publications,Specialized Document Collections
Mechanical Design Document Control,http://mdweb.slac.stanford.edu/Doc%2Control.php,No,Publications,Specialized Document Collections
SLD Publications and Notes,http://www-sld.slac.stanford.edu/sldwww/pubs.html,No,Publications,Specialized Document Collections
SSRL User and Staff Publications,http://www-ssrl.slac.stanford.edu/content/publications/ssrl-publications-reports,No,Publications,Specialized Document Collections
SLAC Research Library,http://www.slac.stanford.edu/library/,No,Publications,Other Document Resources
