guid,name,link,auth,parent
rr-1,Faculty,,,
rr-2,Find a program,,,
rr-3,Online Resources,,,
rr-4,Publications,,,
rr-5,Scientific Seminar Series,,,
rr-6,Site Operations,,,
rr-7,SLAC Documents,,,Publications
rr-8,Specialized Document Collections,,,Publications
rr-9,Other Document Resources,,,Publications
rr-10,Organizations and Offices,,,Online Resources
rr-11,Database and Articles,,,Online Resources
rr-12,Photon Science Programs,,,Find a program
rr-13,Particle Physics and Astrophysics Programs: Accelerators,,,Find a program
rr-14,Particle Physics and Astrophysics Programs: Experiments,,,Find a program
rr-15,Particle Physics and Astrophysics Programs: Theory,,,Find a program
rr-16,SLAC Faculty Affairs Office,http://home.slac.stanford.edu/SLACFacAffairs.html,No,Faculty
rr-17,Particle Physics and Astrophysics Faculty,http://home.slac.stanford.edu/ppa/PPAFacultyIndex.html,No,Faculty
rr-18,Photon Science Faculty,http://www-ssrl.slac.stanford.edu/organization/facultyindex.html,No,Faculty
rr-19,KIPAC Faculty and Affiliated Faculty,http://kipac.stanford.edu/kipac/people,No,Faculty
rr-20,Stanford Academic Departments,http://www.stanford.edu/home/academics/departments.html,No,Faculty
rr-21,Accelerator Directorate,http://www-public.slac.stanford.edu/accelerator/,No,Site Operations
rr-22,LCLS Real Time Status,https://slacportal.slac.stanford.edu/sites/lcls_public/Pages/status.aspx,No,Site Operations
rr-23,SPEAR status,http://www-ssrl.slac.stanford.edu/talk_display.html,No,Site Operations
rr-24,Accelerator Systems Division,https://www-internal.slac.stanford.edu/ad/ad.html,Yes,Site Operations
rr-25,Operations Schedules,https://www-internal.slac.stanford.edu/ad/admo/ADMO_HP.htm#schedules,Yes,Site Operations
rr-26,HEP Shift Reports,https://www-internal.slac.stanford.edu/ad/,Yes,Site Operations
rr-27,Find SLAC Documents,https://www-internal.slac.stanford.edu/scidoc/SciDoc_DocSearch_SearchSciDoc.asp,Yes,SLAC Documents
rr-28,Register SLAC Documents using SciDoc,https://www-internal.slac.stanford.edu/scidoc/,Yes,SLAC Documents
rr-29,SLAC Author Responsibilities,http://www-group.slac.stanford.edu/infomedia/resources/ims_resources_dr_authorResponsibilities.html,No,SLAC Documents
rr-30,Recent SLAC Scientific Publications,http://www-public.slac.stanford.edu/scidoc/RecentPubs.asp,No,SLAC Documents
rr-31,BaBar/PEP-II Publications Database,http://www.slac.stanford.edu/accel/pepii/peppub.html,No,Specialized Document Collections
rr-32,eConf Proceedings Archive,http://www.slac.stanford.edu/econf/search.html,No,Specialized Document Collections
