guid,name,link,auth,parent,organization,category
1,Organization,,No,,,
2,Safety,,No,,,
3,Central Services,,No,,,
4,Site Operations,,No,,,
5,Policies and Procedures,,No,,,
6,Badges and Site Visitors,,No,,,
7,Professional Development and Training,,No,,,
8,Computing,,No,,,
9,Internal Databases,,No,,,
10,Benefits,,No,,,
11,Holidays and Vacation,,No,,,Top Links
12,Life @ SLAC,,No,,,
13,Modern,,No,,,
14,Directorates,,No,Organization,,
15,SLAC Organization Chart,http://www6.slac.stanford.edu/about/organization.aspx,No,Organization,,Top Links
16,Stanford University,http://www.stanford.edu/,No,Organization,,Helpful Resources
17,Director's Office,http://www-group.slac.stanford.edu/do/,No,Directorates,Yes,
18,Human Resources,https://www-internal.slac.stanford.edu/humanresources/,No,Director's Office,Yes,HR Services & Benefits
19,Office of Communications,http://www-group.slac.stanford.edu/com/,No,Director's Office,Yes,
20,Office of the Chief Financial Officer,http://www-group.slac.stanford.edu/ocfo/,No,Director's Office,Yes,
21,University Counsel for SLAC,http://www-group.slac.stanford.edu/legal/,No,Director's Office,Yes,
22,Subcouncils,http://www-group.slac.stanford.edu/operations/Subcouncils.asp,No,Director's Office,Yes,
23,Accelerator Directorate for Staff (SLAC Portal Site),https://slacportal.slac.stanford.edu/sites/ad_public/Pages/Default.aspx,No,Directorates,Yes,
24,Accelerator Operation & Safety,https://slacspace.slac.stanford.edu/sites/aosd/Pages/Default.aspx,Yes,Accelerator Directorate for Staff (SLAC Portal Site),Yes,
25,Accelerator Research,https://slacportal.slac.stanford.edu/sites/ard_public/Pages/Default.aspx,No,Accelerator Directorate for Staff (SLAC Portal Site),Yes,
26,AD Business Office,https://slacspace.slac.stanford.edu/sites/adbus/Pages/Default.aspx,Yes,Accelerator Directorate for Staff (SLAC Portal Site),Yes,
27,FACET,https://slacportal.slac.stanford.edu/sites/ard_public/facet/Pages/default.aspx,No,Accelerator Directorate for Staff (SLAC Portal Site),Yes,
28,Instrumentation & Controls,https://slacspace.slac.stanford.edu/sites/controls/Pages/default.aspx,Yes,Accelerator Directorate for Staff (SLAC Portal Site),Yes,
29,LCLS II Project,https://slacspace.slac.stanford.edu/sites/lcls/lcls_ii/Pages/default.aspx,Yes,Accelerator Directorate for Staff (SLAC Portal Site),Yes,
30,LCLS Accelerator Systems,https://slacportal.slac.stanford.edu/sites/lclscore_public/Pages/Default.aspx,No,Accelerator Directorate for Staff (SLAC Portal Site),Yes,
31,Mechanical Engineering & Technical Support,https://slacportal.slac.stanford.edu/sites/ad_public/metsd/Pages/default.aspx,No,Accelerator Directorate for Staff (SLAC Portal Site),Yes,
32,CAD Applications,http://mdweb.slac.stanford.edu/CAD%20Support.php,No,Mechanical Engineering & Technical Support,Yes,
33,Design Services,http://mdweb.slac.stanford.edu/,No,Mechanical Engineering & Technical Support,Yes,Central Services
34,Mechanical Engineering,https://slacportal.slac.stanford.edu/sites/me_public/Pages/Default.aspx,No,Mechanical Engineering & Technical Support,Yes,
35,Mechanical Fabrication Department,http://www-group.slac.stanford.edu/mfd/,No,Mechanical Engineering & Technical Support,,Central Services
36,Metrology at SLAC,http://www-group.slac.stanford.edu/met/,No,Mechanical Engineering & Technical Support,,
37,Technical Planning,https://slacspace.slac.stanford.edu/sites/ad/work_planning_control/Pages/default.aspx,Yes,Mechanical Engineering & Technical Support,,
38,RF Accelerator Research & engineering,https://slacportal.slac.stanford.edu/sites/ad_public/rfared/Pages/default.aspx,No,Accelerator Directorate for Staff (SLAC Portal Site),Yes,
39,S0-20 Accelerator Division,https://slacspace.slac.stanford.edu/sites/s0-20facetcore/Pages/Default.aspx,No,Accelerator Directorate for Staff (SLAC Portal Site),Yes,
40,SPEAR3 Accelerator Division,https://slacportal.slac.stanford.edu/sites/spear3core_public/Pages/Default.aspx,No,Accelerator Directorate for Staff (SLAC Portal Site),Yes,
41,Projects,https://slacspace.slac.stanford.edu/sites/lcls/strategic_projects/Pages/default.aspx,Yes,Directorates,Yes,
42,Injector Test Facilities,https://slacspace.slac.stanford.edu/sites/ad/itf/Pages/default.aspx,Yes,Projects,,
43,LCLS-II,https://slacspace.slac.stanford.edu/sites/lcls/lcls_ii/Pages/default.aspx,Yes,Projects,,
44,LCLS/LUSI Construction Project,https://slacspace.slac.stanford.edu/sites/LCLS%20Document%20Storage/default.aspx,Yes,Projects,,
45,MECi Project,https://slacspace.slac.stanford.edu/sites/lcls/strategic_projects/MECi/Pages/default.aspx,Yes,Projects,,
46,LCLS Directorate,http://lcls.slac.stanford.edu,No,Directorates,Yes,
47,Organization,http://www-ssrl.slac.stanford.edu/lcls/users/committees-contacts.html,No,LCLS Directorate,Yes,
48,Recent News,https://slacportal.slac.stanford.edu/sites/lcls_public/Pages/NewsListings.aspx,No,LCLS Directorate,Yes,
49,Machine Status,https://slacportal.slac.stanford.edu/sites/lcls_public/Pages/status.aspx,No,LCLS Directorate,Yes,
50,Schedules,http://www-ssrl.slac.stanford.edu/lcls/users/schedules.html,No,LCLS Directorate,Yes,
51,Instruments,https://slacportal.slac.stanford.edu/sites/lcls_public/instruments/Pages/default.aspx,No,LCLS Directorate,Yes,
52,Publications,https://slacportal.slac.stanford.edu/sites/lcls_public/Pages/Publications.aspx,No,LCLS Directorate,Yes,
53,LCLS Home,https://slacportal.slac.stanford.edu/sites/lcls_public/Pages/Default.aspx,No,LCLS Directorate,Yes,
54,Infrastructure and Safety,https://www-internal.slac.stanford.edu/infrastructure-and-safety/,No,Directorates,Yes,
55,"Computing Division,Office of the Chief Information Officer",http://www-group.slac.stanford.edu/scs/,No,Infrastructure and Safety,Yes,
56,Computing Help Desk,https://www-internal.slac.stanford.edu/comp/ITDS/,No,"Computing Division,Office of the Chief Information Officer",Yes,"Top Links,Central Services"
57,"Environment,Safety,Health and Quality",http://www-group.slac.stanford.edu/esh/,No,Infrastructure and Safety,Yes,Safety & Training
58,Facilities,http://www-group.slac.stanford.edu/fac/,No,Infrastructure and Safety,Yes,
59,Major Capital Projects,https://slacspace.slac.stanford.edu/sites/lcls/strategic_projects/capital_projects_collab/Pages/default.aspx,Yes,Infrastructure and Safety,Yes,
60,Project Management Office,https://slacspace.slac.stanford.edu/sites/ipm/pmo/default.aspx,Yes,Infrastructure and Safety,Yes,
61,Particle Physics & Astrophysics Directorate,http://www-group.slac.stanford.edu/ppa/,No,Directorates,Yes,
62,KIPAC,http://www-group.slac.stanford.edu/kipac/,No,Particle Physics & Astrophysics Directorate,Yes,
63,Elementary Particle Physics Research,http://home.slac.stanford.edu/ppap.html,No,Particle Physics & Astrophysics Directorate,Yes,
64,Scientific Computing Applications,http://www-group.slac.stanford.edu/ppa-sca/,No,Particle Physics & Astrophysics Directorate,Yes,
65,Photon Science Directorate,http://home.slac.stanford.edu/photonscience.html,No,Directorates,Yes,
66,PULSE,http://pulse.slac.stanford.edu/,No,Photon Science Directorate,Yes,
67,SIMES,http://simes.slac.stanford.edu,No,Photon Science Directorate,Yes,
68,SUNCAT,http://suncat.slac.stanford.edu,No,Photon Science Directorate,Yes,
69,Photon Science Seminar Series,http://www-ssrl.slac.stanford.edu/content/events/photon-science-seminar-series,No,Photon Science Directorate,Yes,
70,SSRL Directorate,http://www-ssrl.slac.stanford.edu/,No,Directorates,Yes,
71,Organization,http://www-ssrl.slac.stanford.edu/content/sites/default/files/documents/ssrl-organizational-chart_0.pdf,No,SSRL Directorate,Yes,
72,Machine Status,http://www-ssrl.slac.stanford.edu/talk_display.html,No,SSRL Directorate,Yes,
73,Beamline Map,http://www-ssrl.slac.stanford.edu/userresources/beamlines/beamlines.html,No,SSRL Directorate,Yes,
74,News & Events,http://www-ssrl.slac.stanford.edu/content/ssrl-news/ssrl-news-events,No,SSRL Directorate,Yes,
75,Newsletter,http://www-ssrl.slac.stanford.edu/newsletters/headlines/headlines.html,No,SSRL Directorate,Yes,
76,Science Highlights,http://www-ssrl.slac.stanford.edu/content/science/highlight/archive,No,SSRL Directorate,Yes,
77,"Environmental,Safety & Health Home",http://www-group.slac.stanford.edu/esh/,No,Safety,,
78,Safety First Documents,http://www-group.slac.stanford.edu/esh/divisional/safetyfirst/,No,"Environmental,Safety & Health Home",,
79,ES&H Manual,http://www-group.slac.stanford.edu/esh/eshmanual/,No,"Environmental,Safety & Health Home",,Safety & Training
80,ES&H Training Home,http://www-group.slac.stanford.edu/esh/training/,No,"Environmental,Safety & Health Home",,Safety & Training
81,SLAC Training Assessment (STA),http://www-group.slac.stanford.edu/esh/training/sta/,No,"Environmental,Safety & Health Home",,"Top Links,Safety & Training"
82,List of Building Managers,https://oraweb2.slac.stanford.edu/apex/oradb1/f?p=111:1,No,"Environmental,Safety & Health Home",,
83,Security,http://www-group.slac.stanford.edu/esh/security/,Yes,"Environmental,Safety & Health Home",,Top Links
84,Affirmative Action Office,http://www-group.slac.stanford.edu/aao/,No,Central Services,,
85,Archives and History,http://www.slac.stanford.edu/history/,No,Central Services,,Life at SLAC
86,Budget Office,http://www-group.slac.stanford.edu/bu/,No,Central Services,,Central Services
87,Business Information Services,https://www-bis1.slac.stanford.edu/,Yes,Central Services,,
88,Electronic Time sheets,https://www-internal.slac.stanford.edu/ocfo/iat/,Yes,Central Services,,Top Links
89,Facilities Service Request,https://famis.slac.stanford.edu/famis_fss/fweb.home,Yes,Central Services,,
90,Communications,http://www-group.slac.stanford.edu/com/,No,Central Services,,
91,Computing,http://www2.slac.stanford.edu/computing/default.htm,No,Central Services,,
92,Computing Help Desk,https://www-internal.slac.stanford.edu/comp/ITDS/,No,Computing,,Central Services
