guid,name,link,auth,parent,promoted
sr-1,Central Services,,,,
sr-2,Safety & Training,,,,
sr-3,Policies & Procedures,,,,
sr-4,HR Services & Benefits,,,,
sr-5,Life at SLAC,,,,
sr-6,Helpful Resources,,,,
sr-7,A-Z,,,,
sr-8,E-mail,http://www2.slac.stanford.edu/comp/messaging/,No,A-Z,
sr-9,Help and Support,http://www2.slac.stanford.edu/computing/top_pages/help.htm,No,A-Z,
sr-10,Help Desk,http://www2.slac.stanford.edu/computing/helpdesk/,No,A-Z,
sr-11,Remote Access,http://www.slac.stanford.edu/comp/net/residential.html,No,A-Z,
sr-12,CITRIX login,https://citrix.slac.stanford.edu,No,A-Z,
sr-13,SLACSpace - SLAC's internal SharePoint Site,https://slacspace.slac.stanford.edu,No,A-Z,
sr-14,Phone and Voicemail Services,https://www-internal.slac.stanford.edu/comp/telecom/default.htm,Yes,A-Z,
sr-15,Video and Audio Conferencing,http://www2.slac.stanford.edu/comp/videoconf/,No,A-Z,
sr-16,Books Catalog,http://www.slac.stanford.edu/library/catalog/catalog.html,No,A-Z,
sr-17,Building Information,https://www-internal.slac.stanford.edu/database/sebdefault.htm,Yes,A-Z,
sr-18,Online Drawing Access,http://mdweb.slac.stanford.edu/Doc%20Control.ODA.php,No,A-Z,1
sr-19,BeWell @ Stanford,http://bewell.stanford.edu/,No,A-Z,
sr-20,Stanford Help Center,http://helpcenter.stanford.edu/,No,A-Z,
sr-21,Stanford WorkLife Office,http://www.stanford.edu/dept/worklife/cgi-bin/drupal/,No,A-Z,
sr-22,Cafeteria Menu,http://www2.slac.stanford.edu/cafe/,No,A-Z,
sr-23,Flea Market,https://news.slac.stanford.edu/flea-market,No,A-Z,1
sr-24,Maps,http://www6.slac.stanford.edu/maps_directions.aspx,No,A-Z,1
sr-25,Visitor Map,http://www6.slac.stanford.edu/maps_directions_visitor_map.aspx,No,A-Z,
sr-26,Metrology at SLAC,http://www-group.slac.stanford.edu/met/,No,A-Z,
sr-27,Harvest Cafe Menu,http://www.stanford.edu/dept/rde/cgi-bin/slac/harvestcafe,No,A-Z,
sr-28,New Employee Portal,https://www-internal.slac.stanford.edu/humanresources/training/NewEmployeePortal.aspx,No,A-Z,1
sr-29,SLAC Today,https://news.slac.stanford.edu/today/,No,A-Z,1
sr-30,Technical Planning,https://slacspace.slac.stanford.edu/sites/ad/work_planning_control/Pages/default.aspx,Yes,A-Z,
sr-31,Injector Test Facilities,https://slacspace.slac.stanford.edu/sites/ad/itf/Pages/default.aspx,Yes,A-Z,
sr-32,LCLS-II,https://slacspace.slac.stanford.edu/sites/lcls/lcls_ii/Pages/default.aspx,Yes,A-Z,
sr-33,LCLS/LUSI Construction Project,https://slacspace.slac.stanford.edu/sites/LCLS%20Document%20Storage/default.aspx,Yes,A-Z,
sr-34,MECi Project,https://slacspace.slac.stanford.edu/sites/lcls/strategic_projects/MECi/Pages/default.aspx,Yes,A-Z,
sr-35,Safety First Documents,http://www-group.slac.stanford.edu/esh/divisional/safetyfirst/,No,A-Z,
sr-36,List of Building Managers,https://oraweb2.slac.stanford.edu/apex/oradb1/f?p=111:1,No,A-Z,
sr-37,Security,http://www-group.slac.stanford.edu/esh/security/,Yes,A-Z,1
sr-38,Affirmative Action Office,http://www-group.slac.stanford.edu/aao/,No,A-Z,
sr-39,Business Information Services,https://www-bis1.slac.stanford.edu/,Yes,A-Z,
sr-40,Electronic Time sheets,https://www-internal.slac.stanford.edu/ocfo/iat/,Yes,A-Z,1
sr-41,Facilities Service Request,https://famis.slac.stanford.edu/famis_fss/fweb.home,Yes,A-Z,
sr-42,Communications,http://www-group.slac.stanford.edu/com/,No,A-Z,
sr-43,Computing,http://www2.slac.stanford.edu/computing/default.htm,No,A-Z,
sr-44,Outlook Exchange Web Mail,https://email.slac.stanford.edu,No,A-Z,1
sr-45,Housing Office,https://www-internal.slac.stanford.edu/humanresources/housing/,No,A-Z,
sr-46,Diversity Office,http://www-group.slac.stanford.edu/aao/,No,A-Z,
sr-47,Spot Award Program,https://slacspace.slac.stanford.edu/sites/HR/spot/,Yes,A-Z,
sr-48,Legal Counsel,http://www-group.slac.stanford.edu/legal/,No,A-Z,
sr-49,Library,http://www.slac.stanford.edu/library/,No,A-Z,
sr-50,Book Catalog,http://www.slac.stanford.edu/library/catalog/catalog.html,No,A-Z,
sr-51,Book Purchasing,http://www.slac.stanford.edu/library/services/order.html,No,A-Z,
sr-52,SPIRES-HEP Literature Search,http://www.slac.stanford.edu/spires/,No,A-Z,
sr-53,Meeting Room Contacts,http://www2.slac.stanford.edu/comp/messaging/calendar/contacts.html,No,A-Z,
sr-54,Mail Room,http://www-group.slac.stanford.edu/fac/index.asp?id=mail_room,No,A-Z,
sr-55,Occupational Health Center,http://www-group.slac.stanford.edu/esh/medical/services.html#ConfidentialBriefCounseling,No,A-Z,
sr-56,Policy Repository,https://slacspace.slac.stanford.edu/sites/ipm/policies/Policy%20Library/Forms/AllItems.aspx,Yes,A-Z,
sr-57,Purchase Requisitions,https://www-bis1.slac.stanford.edu/slaconly/purchasing/,Yes,A-Z,
sr-58,Records Management,https://www-internal.slac.stanford.edu/ocfo/rm/,Yes,A-Z,
