name,link,auth,category,organization
Accelerator Operations & Safety,https://slacspace.slac.stanford.edu/sites/aosd/  ,Yes,,Accelerator
Accelerator Research,https://slacportal.slac.stanford.edu/sites/ard_public/ ,No,,Accelerator
AD Business Office,https://slacspace.slac.stanford.edu/sites/adbus/  ,Yes,,Accelerator
Archives & History Office,http://www.slac.stanford.edu/history/,No,Life at SLAC,
Arrillaga Recreation Center at SLAC,http://www-group.slac.stanford.edu/esh/medical/wellness/reccenter.htm,No,Life at SLAC,
Beamline Map,http://www-ssrl.slac.stanford.edu/userresources/beamlines/beamlines.html ,No,,SSRL
Budget Office,https://www-internal.slac.stanford.edu/ocfo/bu/ ,Yes,Central Services,
Cable Plant (CAPTAR),http://www.slac.stanford.edu/eprise/cable/captar/captar.html,No,Helpful Resources,
CATER,https://oraweb.slac.stanford.edu/apex/slacprod/f?p=194:1 ,Yes,Helpful Resources,
Collective Bargaining Agreement,http://elr.stanford.edu/union,No,Policies & Procedures,
"Computing Division, Office of CIO",http://www-group.slac.stanford.edu/scs/ ,No,,
Computing Help Desk,https://www-internal.slac.stanford.edu/comp/ITDS/ ,Yes,Central Services,
Conference Hosting and Attending,https://www-internal.slac.stanford.edu/ocfo/bu/conferenceInfo.html ,Yes,Policies & Procedures,
Controlled Doc. Mgmt System (CDMS),https://docs.slac.stanford.edu,No,,
Controlled Document Management System,https://docs.slac.stanford.edu ,Yes,Policies & Procedures,
Directory,http://www-public.slac.stanford.edu/phonebook/search.html,No,,
Discount Commuter Passes,https://www-internal.slac.stanford.edu/hr/d/pre-tax/transit.html ,Yes,HR Services & Benefits,
Elementary Particle Physics,http://home.slac.stanford.edu/ppap.html ,No,,PPA
Emergency Information,https://slacportal.slac.stanford.edu/sites/esh/emergency/Pages/default.aspx,No,Safety & Training,
Employee Activity Groups,http://www-group.slac.stanford.edu/hr/er/eag/activitygroups.html,No,Life at SLAC,
Employee Relations,http://www-group.slac.stanford.edu/hr/er/,No,HR Services & Benefits,
Employee-led SLAC Tours,https://www-internal.slac.stanford.edu/com/tour-guidelines.htm ,Yes,Policies & Procedures,
Engineering Documentation Services,http://mdweb.slac.stanford.edu/Doc%20Control.php,No,Central Services,
"Environment, Safety, and Health",http://www-group.slac.stanford.edu/esh/,No,Safety & Training,Infrastructure & Safety
ES&H Manual,http://www-group.slac.stanford.edu/esh/eshmanual/,No,Safety & Training,
ES&H Training,http://www-group.slac.stanford.edu/esh/training/,No,Safety & Training,
FACET,https://slacportal.slac.stanford.edu/sites/ad_public/Pages/Default.aspx ,No,,Accelerator
Facilities,http://www-group.slac.stanford.edu/fac/ ,No,,Infrastructure & Safety
Flea Market,https://news.slac.stanford.edu/flea-market,No,,
Harvest Cafe Menu,http://www.stanford.edu/dept/rde/cgi-bin/slac/harvestcafe,No,,
Health Improvement Program,http://hip.stanford.edu,No,HR Services & Benefits,
Holiday Schedule,http://www-group.slac.stanford.edu/hr/holidays.html,No,HR Services & Benefits,
Human Resources,http://www-group.slac.stanford.edu/hr/Default.htm ,No,,Director's Office
Human Resources Division,http://www-group.slac.stanford.edu/hr/,No,HR Services & Benefits,
Information Management Services,http://www-group.slac.stanford.edu/ims/,No,Central Services,
Instrumentation & Controls,https://slacspace.slac.stanford.edu/sites/controls/  ,Yes,,Accelerator
Instruments   ,https://slacportal.slac.stanford.edu/sites/lcls_public/instruments/Pages/default.aspx ,No,,
Interactions.org,http://www.interactions.org ,No,Helpful Resources,
International Services,http://www-group.slac.stanford.edu/hr/i/,No,HR Services & Benefits,
It's About Time (Time sheets),https://www-internal.slac.stanford.edu/ocfo/iat/ ,Yes,,
Jobs at SLAC,http://www-group.slac.stanford.edu/hr/jobs/,No,HR Services & Benefits,
KIPAC,http://kipac.stanford.edu/kipac ,No,,PPA
LCLS Accelerator Systems,https://slacportal.slac.stanford.edu/sites/lclscore_public/ ,Yes,,Accelerator
LCLS-II Project,https://slacspace.slac.stanford.edu/sites/lcls/lcls_ii/  ,Yes,,Accelerator
Lightsources.org,http://www.lightsources.org ,No,Helpful Resources,
Machine Status,https://slacportal.slac.stanford.edu/sites/lcls_public/Pages/status.aspx ,No,,LCLS
Machine Status,http://www-ssrl.slac.stanford.edu/talk_display.html ,No,,SSRL
Major Capital Projects Office,https://slacspace.slac.stanford.edu/sites/lcls/strategic_projects/capital_projects_collab/Pages/default.aspx  ,Yes,,Infrastructure & Safety
Marguerite Shuttle,http://transportation.stanford.edu/marguerite/MargueriteSched.shtml,No,Helpful Resources,
Mechanical Eng. & Technical Support,https://slacportal.slac.stanford.edu/sites/ad_public/metsd/ ,No,,Accelerator
Mechanical Fabrication Department,http://www-group.slac.stanford.edu/mfd/,No,Central Services,
Medical Department,http://www-group.slac.stanford.edu/esh/medical/,No,Safety & Training,
New Employee Portal,http://www-group.slac.stanford.edu/hr/t/newemp/,No,,
News & Events,http://www-ssrl.slac.stanford.edu/content/ssrl-news/ssrl-news-events ,No,,
Newsletter,http://www-ssrl.slac.stanford.edu/newsletters/headlines/headlines.html ,No,,SSRL
Office of Communications,http://www-group.slac.stanford.edu/com/ ,No,,Director's Office
Office of Strategic Planning,http://www-group.slac.stanford.edu/oa/strategic.htm ,No,,Director's Office
Office of the CFO,http://www-group.slac.stanford.edu/ocfo/ ,No,,Director's Office
Organization,http://www-ssrl.slac.stanford.edu/lcls/users/committees-contacts.html ,No,,LCLS
Organization,http://www-ssrl.slac.stanford.edu/content/sites/default/files/documents/ssrl-organizational-chart.pdf ,No,,SSRL
Organizational Chart,http://www6.slac.stanford.edu/about/organization.aspx,No,,
Payroll,https://www-internal.slac.stanford.edu/ocfo/accounting/payroll/forms.htm ,Yes,Central Services,
Petty Cash Reimbursements,https://www-internal.slac.stanford.edu/ocfo/bu/PettyCashInformation.htm ,Yes,Policies & Procedures,
Photon Science Safety,http://home.slac.stanford.edu/PSD-Safety/default-mainpage.html ,No,,Photon Science
Photon Science Seminar Series,http://www-ssrl.slac.stanford.edu/content/events/photon-science-seminar-series ,No,,Photon Science
Project Management Office,https://slacspace.slac.stanford.edu/sites/ipm/pmo/default.aspx  ,Yes,,Infrastructure & Safety
Property Control,https://www-internal.slac.stanford.edu/ocfo/purchasing/propertycontrol/property-control.html ,Yes,Central Services,
Public Lecture Series,http://www2.slac.stanford.edu/lectures/,No,Life at SLAC,
